model,family,metric,shipped_mean,reproduced_mean,abs_diff
modele_baseline_v0,baseline(stochastic),precision_n,0.5158,0.4961,0.0197
modele_baseline_v0,baseline(stochastic),precision_v,0.318,0.2968,0.0212
modele_baseline_v0,baseline(stochastic),rappel_n,0.0096,0.0081,0.0015
modele_baseline_v0,baseline(stochastic),rappel_v,0.0146,0.0143,0.0003
modele_baseline_v0,baseline(stochastic),nb_tri,0.0,0.0,0.0
modele_baseline_v0,baseline(stochastic),nb_bi,0.0,0.0,0.0
modele_baseline_v0,baseline(stochastic),nb_none,0.0,0.0,0.0
modele_baseline_v1,baseline(stochastic),precision_n,0.492,0.5069,0.0148
modele_baseline_v1,baseline(stochastic),precision_v,0.3118,0.3221,0.0103
modele_baseline_v1,baseline(stochastic),rappel_n,0.0151,0.0144,0.0006
modele_baseline_v1,baseline(stochastic),rappel_v,0.0305,0.0327,0.0022
modele_baseline_v1,baseline(stochastic),nb_tri,0.0,0.0,0.0
modele_baseline_v1,baseline(stochastic),nb_bi,0.0,0.0,0.0
modele_baseline_v1,baseline(stochastic),nb_none,0.0,0.0,0.0
modele_baseline_v2,baseline(stochastic),precision_n,0.4857,0.4602,0.0254
modele_baseline_v2,baseline(stochastic),precision_v,0.3204,0.3191,0.0013
modele_baseline_v2,baseline(stochastic),rappel_n,0.0203,0.0197,0.0005
modele_baseline_v2,baseline(stochastic),rappel_v,0.035,0.0367,0.0016
modele_baseline_v2,baseline(stochastic),nb_tri,0.0,0.0,0.0
modele_baseline_v2,baseline(stochastic),nb_bi,0.0,0.0,0.0
modele_baseline_v2,baseline(stochastic),nb_none,0.0,0.0,0.0
modele_baseline_v3,baseline(stochastic),precision_n,0.5074,0.5461,0.0387
modele_baseline_v3,baseline(stochastic),precision_v,0.3258,0.3349,0.0091
modele_baseline_v3,baseline(stochastic),rappel_n,0.0351,0.0321,0.003
modele_baseline_v3,baseline(stochastic),rappel_v,0.0487,0.0518,0.0031
modele_baseline_v3,baseline(stochastic),nb_tri,0.0,0.0,0.0
modele_baseline_v3,baseline(stochastic),nb_bi,0.0,0.0,0.0
modele_baseline_v3,baseline(stochastic),nb_none,0.0,0.0,0.0
modele_baseline_v4,baseline(stochastic),precision_n,0.5042,0.5116,0.0074
modele_baseline_v4,baseline(stochastic),precision_v,0.3206,0.3178,0.0028
modele_baseline_v4,baseline(stochastic),rappel_n,0.0451,0.0428,0.0023
modele_baseline_v4,baseline(stochastic),rappel_v,0.0609,0.0606,0.0003
modele_baseline_v4,baseline(stochastic),nb_tri,0.0,0.0,0.0
modele_baseline_v4,baseline(stochastic),nb_bi,0.0,0.0,0.0
modele_baseline_v4,baseline(stochastic),nb_none,0.0,0.0,0.0
modele_baseline_v5,baseline(stochastic),precision_n,0.5141,0.5126,0.0015
modele_baseline_v5,baseline(stochastic),precision_v,0.3337,0.3102,0.0235
modele_baseline_v5,baseline(stochastic),rappel_n,0.0571,0.0553,0.0018
modele_baseline_v5,baseline(stochastic),rappel_v,0.0738,0.0671,0.0067
modele_baseline_v5,baseline(stochastic),nb_tri,0.0,0.0,0.0
modele_baseline_v5,baseline(stochastic),nb_bi,0.0,0.0,0.0
modele_baseline_v5,baseline(stochastic),nb_none,0.0,0.0,0.0
modele_baseline_vm,baseline(stochastic),precision_n,0.5133,0.5135,0.0003
modele_baseline_vm,baseline(stochastic),precision_v,0.3166,0.3166,0.0
modele_baseline_vm,baseline(stochastic),rappel_n,0.1292,0.1342,0.0049
modele_baseline_vm,baseline(stochastic),rappel_v,0.143,0.1408,0.0022
modele_baseline_vm,baseline(stochastic),nb_tri,0.0,0.0,0.0
modele_baseline_vm,baseline(stochastic),nb_bi,0.0,0.0,0.0
modele_baseline_vm,baseline(stochastic),nb_none,0.0,0.0,0.0
modele_droit_v0,context(deterministic),precision_n,0.5083,0.6283,0.12
modele_droit_v0,context(deterministic),precision_v,0.6728,0.7015,0.0287
modele_droit_v0,context(deterministic),rappel_n,0.0113,0.0267,0.0154
modele_droit_v0,context(deterministic),rappel_v,0.0309,0.0361,0.0052
modele_droit_v0,context(deterministic),nb_tri,498.1,488.3,9.8
modele_droit_v0,context(deterministic),nb_bi,343.1,349.3,6.2
modele_droit_v0,context(deterministic),nb_none,75.5,74.0,1.5
modele_droit_v1,context(deterministic),precision_n,0.6648,0.564,0.1008
modele_droit_v1,context(deterministic),precision_v,0.518,0.5311,0.0131
modele_droit_v1,context(deterministic),rappel_n,0.0256,0.0455,0.0199
modele_droit_v1,context(deterministic),rappel_v,0.0797,0.0926,0.0128
modele_droit_v1,context(deterministic),nb_tri,498.1,488.3,9.8
modele_droit_v1,context(deterministic),nb_bi,343.1,349.3,6.2
modele_droit_v1,context(deterministic),nb_none,75.5,74.0,1.5
modele_droit_v2,context(deterministic),precision_n,0.6297,0.5737,0.056
modele_droit_v2,context(deterministic),precision_v,0.5164,0.5445,0.0281
modele_droit_v2,context(deterministic),rappel_n,0.0845,0.1024,0.0179
modele_droit_v2,context(deterministic),rappel_v,0.0966,0.1172,0.0205
modele_droit_v2,context(deterministic),nb_tri,498.1,488.3,9.8
modele_droit_v2,context(deterministic),nb_bi,343.1,349.3,6.2
modele_droit_v2,context(deterministic),nb_none,75.5,74.0,1.5
modele_droit_v3,context(deterministic),precision_n,0.6224,0.5742,0.0482
modele_droit_v3,context(deterministic),precision_v,0.5229,0.5209,0.002
modele_droit_v3,context(deterministic),rappel_n,0.1328,0.1507,0.0179
modele_droit_v3,context(deterministic),rappel_v,0.1729,0.2153,0.0424
modele_droit_v3,context(deterministic),nb_tri,498.1,488.3,9.8
modele_droit_v3,context(deterministic),nb_bi,343.1,349.3,6.2
modele_droit_v3,context(deterministic),nb_none,75.5,74.0,1.5
modele_droit_v4,context(deterministic),precision_n,0.6205,0.597,0.0235
modele_droit_v4,context(deterministic),precision_v,0.5264,0.5225,0.0039
modele_droit_v4,context(deterministic),rappel_n,0.167,0.1863,0.0192
modele_droit_v4,context(deterministic),rappel_v,0.2319,0.2886,0.0567
modele_droit_v4,context(deterministic),nb_tri,498.1,488.3,9.8
modele_droit_v4,context(deterministic),nb_bi,343.1,349.3,6.2
modele_droit_v4,context(deterministic),nb_none,75.5,74.0,1.5
modele_droit_v5,context(deterministic),precision_n,0.6118,0.5987,0.013
modele_droit_v5,context(deterministic),precision_v,0.5344,0.5418,0.0074
modele_droit_v5,context(deterministic),rappel_n,0.1845,0.2165,0.0319
modele_droit_v5,context(deterministic),rappel_v,0.2912,0.3433,0.0521
modele_droit_v5,context(deterministic),nb_tri,498.1,488.3,9.8
modele_droit_v5,context(deterministic),nb_bi,343.1,349.3,6.2
modele_droit_v5,context(deterministic),nb_none,75.5,74.0,1.5
modele_droit_vm,context(deterministic),precision_n,0.5863,0.5972,0.011
modele_droit_vm,context(deterministic),precision_v,0.5421,0.556,0.0139
modele_droit_vm,context(deterministic),rappel_n,0.2829,0.306,0.0231
modele_droit_vm,context(deterministic),rappel_v,0.5329,0.5856,0.0527
modele_droit_vm,context(deterministic),nb_tri,498.1,488.3,9.8
modele_droit_vm,context(deterministic),nb_bi,343.1,349.3,6.2
modele_droit_vm,context(deterministic),nb_none,75.5,74.0,1.5
modele_gauche_v0,context(deterministic),precision_n,0.9036,0.8942,0.0094
modele_gauche_v0,context(deterministic),precision_v,0.898,0.8868,0.0112
modele_gauche_v0,context(deterministic),rappel_n,0.1049,0.1182,0.0133
modele_gauche_v0,context(deterministic),rappel_v,0.0644,0.0656,0.0012
modele_gauche_v0,context(deterministic),nb_tri,958.1,954.8,3.3
modele_gauche_v0,context(deterministic),nb_bi,478.1,483.6,5.5
modele_gauche_v0,context(deterministic),nb_none,63.3,58.5,4.8
modele_gauche_v1,context(deterministic),precision_n,0.9037,0.9048,0.0011
modele_gauche_v1,context(deterministic),precision_v,0.8548,0.8499,0.0049
modele_gauche_v1,context(deterministic),rappel_n,0.1935,0.2032,0.0097
modele_gauche_v1,context(deterministic),rappel_v,0.1262,0.1446,0.0184
modele_gauche_v1,context(deterministic),nb_tri,958.1,954.8,3.3
modele_gauche_v1,context(deterministic),nb_bi,478.1,483.6,5.5
modele_gauche_v1,context(deterministic),nb_none,63.3,58.5,4.8
modele_gauche_v2,context(deterministic),precision_n,0.9134,0.9084,0.005
modele_gauche_v2,context(deterministic),precision_v,0.842,0.8422,0.0002
modele_gauche_v2,context(deterministic),rappel_n,0.2994,0.3253,0.0259
modele_gauche_v2,context(deterministic),rappel_v,0.138,0.1531,0.0151
modele_gauche_v2,context(deterministic),nb_tri,958.1,954.8,3.3
modele_gauche_v2,context(deterministic),nb_bi,478.1,483.6,5.5
modele_gauche_v2,context(deterministic),nb_none,63.3,58.5,4.8
modele_gauche_v3,context(deterministic),precision_n,0.9202,0.9058,0.0144
modele_gauche_v3,context(deterministic),precision_v,0.8012,0.8165,0.0153
modele_gauche_v3,context(deterministic),rappel_n,0.3844,0.4135,0.029
modele_gauche_v3,context(deterministic),rappel_v,0.2166,0.2422,0.0257
modele_gauche_v3,context(deterministic),nb_tri,958.1,954.8,3.3
modele_gauche_v3,context(deterministic),nb_bi,478.1,483.6,5.5
modele_gauche_v3,context(deterministic),nb_none,63.3,58.5,4.8
modele_gauche_v4,context(deterministic),precision_n,0.9202,0.9106,0.0096
modele_gauche_v4,context(deterministic),precision_v,0.8196,0.8014,0.0182
modele_gauche_v4,context(deterministic),rappel_n,0.4791,0.519,0.04
modele_gauche_v4,context(deterministic),rappel_v,0.2939,0.3115,0.0176
modele_gauche_v4,context(deterministic),nb_tri,958.1,954.8,3.3
modele_gauche_v4,context(deterministic),nb_bi,478.1,483.6,5.5
modele_gauche_v4,context(deterministic),nb_none,63.3,58.5,4.8
modele_gauche_v5,context(deterministic),precision_n,0.9209,0.9105,0.0104
modele_gauche_v5,context(deterministic),precision_v,0.827,0.8107,0.0163
modele_gauche_v5,context(deterministic),rappel_n,0.5455,0.5746,0.029
modele_gauche_v5,context(deterministic),rappel_v,0.3516,0.3829,0.0313
modele_gauche_v5,context(deterministic),nb_tri,958.1,954.8,3.3
modele_gauche_v5,context(deterministic),nb_bi,478.1,483.6,5.5
modele_gauche_v5,context(deterministic),nb_none,63.3,58.5,4.8
modele_gauche_vm,context(deterministic),precision_n,0.912,0.8935,0.0185
modele_gauche_vm,context(deterministic),precision_v,0.7887,0.7759,0.0128
modele_gauche_vm,context(deterministic),rappel_n,0.7534,0.7585,0.0051
